geonameid,name,latitude,longitude,feature_code,country_code,population
5910266,Bruno,52.26676,-105.51783,PPL,CA,604
5910322,Brussels,43.74316,-81.24998,PPL,CA,1158
5910853,Buffalo Narrows,55.86086,-108.479,PPL,CA,1014
5911433,Burford,43.10292,-80.42869,PPL,CA,1615
5911440,Burgeo,47.61668,-57.61516,PPL,CA,1307
5911557,Burkeville,49.18333,-123.15,PPLX,CA,819
5911592,Burlington,43.38621,-79.83713,PPL,CA,186948
5911606,Burnaby,49.26636,-122.95263,PPLA3,CA,249125
5911609,Burnaby Heights,49.28333,-123,PPLX,CA,8280
5911745,Burns Lake,54.22972,-125.76084,PPL,CA,1779
5912150,Burquitlam,49.26667,-122.88333,PPL,CA,14896
5913035,Cache Bay,46.36679,-79.98297,PPL,CA,641
5913049,Cache Creek,50.81011,-121.3246,PPL,CA,1061
5913113,Cadboro Bay,48.46667,-123.3,PPLX,CA,4000
5913174,Caesarea,44.15012,-78.83286,PPL,CA,823
5913414,Caledon,43.86544,-79.99322,PPL,CA,76581
5913490,Calgary,51.05011,-114.08529,PPL,CA,1306784
5913550,Callander,46.2168,-79.36632,PPL,CA,3964
5913601,Calmar,53.26683,-113.81874,PPL,CA,2228
5913628,Calumet,45.65148,-74.63536,PPL,CA,550
5913687,Cambrian Heights,51.08638,-114.09027,PPLX,CA,2000
5913693,Cambridge,45.05725,-64.63478,PPL,CA,703
5913695,Cambridge,43.3601,-80.31269,PPL,CA,129920
5913698,Cambridge Bay,69.11489,-105.05484,PPLL,CA,1760
5913934,Camlachie,43.03596,-82.1616,PPL,CA,7506
5914025,Campbell Creek,50.65668,-120.08308,PPL,CA,707
5914033,Campbellford,44.30842,-77.79949,PPL,CA,3372
5914132,Campbell River,50.01634,-125.24459,PPL,CA,33430
5914273,Camperville,51.98832,-100.14365,PPL,CA,820
5914653,Camrose,53.01684,-112.83525,PPL,CA,20405
5914778,Canal Flats,50.14994,-115.81879,PPL,CA,802
5914826,Candiac,45.38338,-73.51587,PPL,CA,15947
5914894,Canmore,51.08335,-115.35206,PPL,CA,13992
5914921,Canning,45.15792,-64.4252,PPL,CA,716
5915098,Canora,51.63328,-102.43425,PPL,CA,2055
5915148,Cantley,45.5668,-75.78265,PPL,CA,10412
5915230,Canyon Heights,49.35493,-123.09743,PPLX,CA,2849
5915247,Canyon Meadows,50.94285,-114.08092,PPLX,CA,7435
5915327,Cap-aux-Meules,47.38208,-61.85968,PPL,CA,12190
5915359,Cap-Chat,49.09736,-66.68514,PPL,CA,1466
5915732,Kinngait,64.23378,-76.54372,PPLL,CA,1396
5916295,Cape St. George,48.48333,-59.18185,PPL,CA,809
5916422,Capitol Hill,51.07031,-114.09559,PPLX,CA,4670
5916424,Capitol Hill,49.28333,-122.98333,PPLX,CA,6330
5916546,Cap-Pele,46.21294,-64.27844,PPL,CA,2441
5916567,Capreol,46.70626,-80.92109,PPL,CA,3260
5916706,Carberry,49.86893,-99.36021,PPL,CA,1738
5916722,Carbonear,47.73919,-53.2272,PPL,CA,4838
5916821,Cardston,49.19998,-113.3019,PPL,CA,3585
5916896,Cariboo,49.25,-122.88333,PPLX,CA,22780
5917117,Carignan,45.45008,-73.29916,PPL,CA,7426
5917158,Carleton Place,45.13341,-76.14938,PPL,CA,11901
5917262,Carlyle,49.63334,-102.26765,PPL,CA,1508
5917270,Carmacks,62.08835,-136.29295,PPL,CA,588
5917275,Carman,49.4992,-98.00156,PPL,CA,3027
5917349,Carnduff,49.17379,-101.79633,PPL,CA,950
5917430,Caronport,50.45006,-105.81787,PPL,CA,972
5917434,Carp,45.3501,-76.03267,PPL,CA,1477
5917605,Carrot River,53.28337,-103.58423,PPL,CA,950
5917652,Carseland,50.85011,-113.46864,PPL,CA,542
5917688,Carstairs,51.56681,-114.102,PPL,CA,4077
5917781,Cartierville,45.53118,-73.70358,PPL,CA,34667
5917868,Cascade Heights,49.25,-123.01667,PPLX,CA,7449
5918021,Casselman,45.3168,-75.0826,PPL,CA,3074
5918040,Cassidy,49.04963,-123.886,PPL,CA,995
5918118,Castlegar,49.32317,-117.65831,PPL,CA,8338
5918162,Castleridge,51.10556,-113.95556,PPLX,CA,6130
5918243,Catalina,48.51659,-53.08135,PPL,CA,845
5918505,Caulfeild,49.35,-123.25,PPLX,CA,3757
5918767,Cedar,49.11633,-123.8527,PPL,CA,2836
5918777,Cedarbrae,50.95648,-114.12975,PPLX,CA,5935
5919015,Central Business District,52.13032,-106.66228,PPL,CA,12101
5919137,Central Saanich,48.56634,-123.41932,PPL,CA,17385
5919248,Centretown,45.41534,-75.69639,PPLX,CA,25687
5919257,Centreville,45.13345,-64.53207,PPL,CA,1159
5919483,Chalk River,46.01682,-77.44948,PPL,CA,1025
5919566,Chambly,45.45008,-73.28246,PPL,CA,22608
5919569,Chambord,48.43339,-72.06583,PPL,CA,1773
5919815,Channel-Port aux Basques,47.57286,-59.13808,PPL,CA,4220
5919850,Chapais,49.78344,-74.84919,PPL,CA,1824
5919853,Chaparral,50.88611,-114.03333,PPLX,CA,12500
5919915,Chapleau,47.84053,-83.4034,PPL,CA,1942
5920089,Charlemagne,45.71678,-73.48247,PPL,CA,5594
5920288,Charlottetown,46.23459,-63.1256,PPLA,CA,38809
5920381,Chase,50.8165,-119.68571,PPL,CA,2471
5920398,Chase River,49.13333,-123.91667,PPLX,CA,2900
5920433,Châteauguay,45.38338,-73.74919,PPL,CA,42786
5920442,Chateh,58.6714,-118.67638,PPL,CA,700
5920457,Chatham,42.41224,-82.18494,PPL,CA,43550
5920652,Chelsea,45.5001,-75.78265,PPL,CA,8000
5920668,Chemainus,48.91633,-123.71937,PPL,CA,3021
5920990,Cherryville,50.24152,-118.61901,PPL,CA,717
5920996,Chertsey,46.07109,-73.89095,PPL,CA,4836
5921028,Chester,44.54225,-64.23891,PPL,CA,2348
5921060,Chestermere,51.03341,-113.81867,PPL,CA,32255
5921091,Chetwynd,55.69988,-121.63627,PPL,CA,2587
5921147,Chibougamau,49.91684,-74.36586,PPL,CA,7563
5921356,Chilliwack,49.16638,-121.95257,PPLA2,CA,101491
5921470,Chineside,49.26667,-122.83333,PPLX,CA,2929
5921491,Chinook Park,50.98286,-114.08838,PPLX,CA,1535
5921527,Chipman,46.16934,-65.88386,PPL,CA,1201
5921861,Christie Park,51.0375,-114.175,PPLX,CA,1880
5921896,Christina Lake,49.03967,-118.20847,PPL,CA,1329
5922111,Churchill,58.76811,-94.16674,PPL,CA,899
5922281,Chute-aux-Outardes,49.11679,-68.39896,PPL,CA,2000
5922833,Citadel,51.14533,-114.18125,PPLX,CA,10180
5922904,Clairmont,55.26668,-118.78601,PPL,CA,2799
5923101,Clarence-Rockland,45.5501,-75.29101,PPL,CA,20790
5923118,Clarenville,48.1666,-53.96482,PPL,CA,6704
5923119,Clarenville-Shoal Harbour,48.1805,-53.96982,PPL,CA,3478
5923125,Claresholm,50.03332,-113.58524,PPL,CA,3780
5923436,Clayburn,49.0691,-122.26176,PPL,CA,11755
5923522,Clayton Park,44.66029,-63.64731,PPLX,CA,5201
5923667,Clearwater,51.64061,-120.02769,PPL,CA,2388
5923915,Cliff Bungalow,51.03362,-114.07456,PPLX,CA,1805
5923921,Cliffcrest,43.72192,-79.23091,PPLX,CA,15935
5924041,Clinton,51.08309,-121.58597,PPLA3,CA,0
5924204,Cloverdale,49.10797,-122.7276,PPLX,CA,73355
5924347,Clyde River,43.63346,-65.48213,PPL,CA,614
5924351,Clyde River,70.47233,-68.58987,PPLL,CA,1181
5924360,Coach Hill,51.05618,-114.18005,PPLX,CA,3275
5924417,Coaldale,49.7167,-112.61854,PPL,CA,8215
5924428,Coalhurst,49.7464,-112.93246,PPL,CA,2668
5924500,Coaticook,45.13339,-71.79907,PPL,CA,7021
5924565,Cobden,45.63341,-76.88273,PPL,CA,1071
5924579,Cobourg,43.95977,-78.16515,PPL,CA,18099
5924597,Cocagne,46.33494,-64.61504,PPL,CA,2757
5924614,Cochrane,49.06689,-81.03307,PPL,CA,5390
5924618,Cochrane,51.18341,-114.46871,PPL,CA,32199
5924989,Coldbrook,45.06685,-64.58207,PPLL,CA,1206
5925024,Cold Lake,54.46525,-110.18154,PPL,CA,11595
5925058,Coldstream,50.21649,-119.20235,PPL,CA,11171
5925154,Coleman,49.63332,-114.502,PPL,CA,1441
5925975,Collingwood,44.4834,-80.21638,PPL,CA,21793
5926268,Colwood,48.43293,-123.48591,PPL,CA,16859
5926432,Comox,49.68294,-124.93613,PPL,CA,14806
