geonameid,name,latitude,longitude,feature_class,feature_code,country_code,population
2805948,Wülfel,52.32905,9.77509,P,PPLX,DE,4409
2805988,Wrohm,54.21305,9.38212,P,PPLA4,DE,740
2805992,Wrixum,54.69993,8.54856,P,PPLA4,DE,670
2805994,Wrist,53.93249,9.75301,P,PPLA4,DE,2507
2805999,Wriezen,52.72091,14.13425,P,PPL,DE,8213
2806002,Wriedel,53.0313,10.29848,P,PPLA4,DE,2596
2806007,Wrestedt,52.90435,10.57494,P,PPL,DE,2996
2806011,Wremen,53.65,8.51667,P,PPLA4,DE,2023
2806015,Wredenhagen,53.29026,12.5172,P,PPL,DE,536
2806062,Wössingen,49.01205,8.60754,P,PPL,DE,3781
2806072,Wörthsee,48.0725,11.20175,P,PPLA4,DE,4589
2806079,Wörth an der Isar,48.623,12.33944,P,PPL,DE,2400
2806080,Wörth an der Donau,49.00093,12.40539,P,PPL,DE,4524
2806081,Wörth am Rhein,49.04888,8.25959,P,PPL,DE,17272
2806082,Wörth am Main,49.7972,9.15389,P,PPL,DE,4983
2806083,Worth,53.46781,10.40932,P,PPLA4,DE,164
2806097,Wört,49.03047,10.27239,P,PPLA4,DE,1444
2806105,Wörrstadt,49.84861,8.12417,P,PPLA4,DE,7668
2806107,Worringen,51.065,6.85936,P,PPLX,DE,10193
2806108,Worpswede,53.21667,8.93333,P,PPLA4,DE,9417
2806127,Wörnersberg,48.56667,8.56667,P,PPLA4,DE,245
2806141,Wormsdorf,52.1337,11.19335,P,PPL,DE,571
2806142,Worms,49.63278,8.35916,P,PPLA3,DE,81099
2806162,Wörlitz,51.84172,12.42116,P,PPL,DE,1681
2806173,Woringen,47.91667,10.2,P,PPLA4,DE,1812
2806192,Worbis,51.41997,10.3633,P,PPL,DE,5371
2806205,Woppenroth,49.86667,7.41667,P,PPLA4,DE,300
2806231,Wonsheim,49.78333,7.96667,P,PPLA4,DE,903
2806232,Wonsees,49.97614,11.30047,P,PPL,DE,1219
2806239,Wonfurt,50.01667,10.46667,P,PPLA4,DE,1955
2806244,Womrath,49.91667,7.45,P,PPLA4,DE,222
2806276,Woltershausen,51.98333,9.95,P,PPLA4,DE,963
2806283,Woltersdorf,53.57267,10.6432,P,PPLA4,DE,272
2806285,Woltersdorf,52.95,11.21667,P,PPLA4,DE,1033
2806287,Woltersdorf,52.45554,13.74986,P,PPLA4,DE,7581
2806307,Wolsfeld,49.90702,6.46597,P,PPLA4,DE,801
2806310,Wolsdorf,52.19098,10.93878,P,PPLA4,DE,1108
2806320,Wölpinghausen,52.41667,9.23333,P,PPLA4,DE,1754
2806322,Wolpertswende,47.89471,9.61202,P,PPLA4,DE,4128
2806325,Wolpertshausen,49.1675,9.84472,P,PPLA4,DE,2037
2806339,Wolnzach,48.6038,11.62568,P,PPL,DE,10973
2806342,Wolmirstedt,52.24856,11.62945,P,PPL,DE,10860
2806343,Wolmirsleben,51.95,11.48333,P,PPLA4,DE,1544
2806345,Wölmersen,50.71667,7.6,P,PPLA4,DE,431
2806346,Wolmersdorf,54.07652,9.10248,P,PPLA4,DE,355
2806353,Wöllstein,49.81667,7.96667,P,PPLA4,DE,4516
2806380,Wollmerath,50.15,6.98333,P,PPLA4,DE,230
2806382,Wollmatingen,47.69226,9.14595,P,PPL,DE,6775
2806399,Wollin,52.28333,12.46667,P,PPLA4,DE,972
2806414,Wollershausen,51.6,10.25,P,PPLA4,DE,489
2806439,Wollbrandshausen,51.58333,10.16667,P,PPLA4,DE,661
2806442,Wollbach,50.36667,10.23333,P,PPLA4,DE,1242
2806453,Wolkramshausen,51.42185,10.73815,P,PPLX,DE,1180
2806474,Wolkenstein,50.65552,13.07132,P,PPL,DE,4359
2806489,Wolken,50.33333,7.46667,P,PPLA4,DE,1093
2806501,Wolgast,54.052,13.77105,P,PPLA4,DE,12664
2806523,Wolfstein,49.58411,7.60496,P,PPL,DE,2060
2806596,Wolfsheim,49.87222,8.03944,P,PPLA4,DE,701
2806633,Wolfsegg,49.10731,11.9781,P,PPLA4,DE,1506
2806646,Wolfschlugen,48.65,9.28333,P,PPLA4,DE,6108
2806650,Wolfsburg-Unkeroda,50.93333,10.26667,P,PPLA4,DE,778
2806654,Wolfsburg,52.42452,10.7815,P,PPLA3,DE,123064
2806768,Wolfratshausen,47.91289,11.42166,P,PPL,DE,17191
2806770,Wolframs-Eschenbach,49.22675,10.72769,P,PPL,DE,2911
2806788,Wölfis,50.80825,10.77905,P,PPLA4,DE,1662
2806799,Wolfhagen,51.32611,9.17015,P,PPL,DE,13266
2806831,Wolfertschwenden,47.8935,10.26715,P,PPLA4,DE,1852
2806846,Wolferstedt,51.42546,11.4345,P,PPL,DE,757
2806847,Wolferstadt,48.90352,10.78129,P,PPLA4,DE,1113
2806852,Wölfersheim,50.4,8.81667,P,PPLA4,DE,9610
2806856,Wölfershausen,50.48333,10.43333,P,PPLA4,DE,449
2806870,Wolfersdorf,48.47937,11.70949,P,PPLA4,DE,2327
2806872,Wolferschwenda,51.23333,10.8,P,PPLA4,DE,171
2806884,Wolferode,51.5065,11.51299,P,PPL,DE,1292
2806890,Wölferlingen,50.56444,7.85111,P,PPLA4,DE,569
2806898,Wölferbütt,50.76667,10.05,P,PPLA4,DE,436
