geonameid,name,latitude,longitude,feature_code,country_code,population
2068542,Keswick,-34.94178,138.57459,PPLX,AU,746
2068547,Kersbrook,-34.78305,138.85091,PPL,AU,1116
2068569,Kenwick,-32.03333,115.96667,PPLX,AU,5648
2068589,Kendenup,-34.48213,117.62533,PPL,AU,949
2068594,Kelmscott,-32.12434,116.0259,PPLX,AU,10575
2068612,Kellerberrin,-31.63182,117.71983,PPL,AU,962
2068655,Katherine,-14.46517,132.26347,PPL,AU,5980
2068661,Katanning,-33.68787,117.5584,PPL,AU,3655
2068688,Karoonda,-35.09446,139.89342,PPL,AU,505
2068693,Karnup,-32.41894,115.79267,PPLX,AU,1351
2068734,Kapunda,-34.33871,138.91644,PPL,AU,2911
2068751,Kanmantoo,-35.07005,139.01271,PPL,AU,710
2068782,Kangarilla,-35.14881,138.6604,PPLX,AU,881
2068823,Kalgoorlie,-30.74614,121.4742,PPL,AU,29072
2068827,Kalgan,-34.88472,118.01306,PPLX,AU,805
2068835,Kalbarri,-27.7105,114.16505,PPL,AU,2602
2068856,Kadina,-33.96495,137.71634,PPL,AU,2739
2069163,Jarrahdale,-32.3358,116.05951,PPLX,AU,1171
2069194,Jamestown,-33.20531,138.60503,PPL,AU,1610
2069326,Ironbank,-35.05,138.68333,PPL,AU,504
2069375,Ingle Farm,-34.83333,138.63333,PPLX,AU,8679
2069566,Hovea,-31.88333,116.1,PPLX,AU,595
2069573,Houghton,-34.82869,138.7615,PPL,AU,511
2069646,Hope Valley,-34.83333,138.7,PPLX,AU,8223
2069647,Hopetoun,-33.95057,120.12635,PPL,AU,801
2069762,Hindmarsh Island,-35.51014,138.86762,PPL,AU,1341
2069846,Herne Hill,-31.82553,116.0227,PPLX,AU,1489
2069920,Heathfield,-35.02834,138.71724,PPL,AU,935
2070009,Harvey,-33.07863,115.91512,PPL,AU,3281
2070106,Happy Valley,-35.08333,138.53333,PPL,AU,11420
2070147,Hamley Bridge,-34.35763,138.68074,PPL,AU,705
2070165,Hamersley,-31.84898,115.80757,PPLX,AU,4866
2070176,Halls Creek,-18.22485,127.66647,PPL,AU,1734
2070212,Hahndorf,-35.02863,138.80779,PPL,AU,2715
2070216,Hackham,-35.15514,138.52509,PPLX,AU,3884
2070292,Gumeracha,-34.82388,138.88467,PPL,AU,820
2070332,Guildford,-31.9,115.96667,PPLX,AU,1986
2070422,Greenock,-34.457,138.92719,PPL,AU,1060
2070423,Greenmount,-31.90072,116.0495,PPL,AU,2646
2070478,Grasmere,-35.01806,117.75556,PPLX,AU,1526
2070515,Grange,-34.90223,138.49022,PPL,AU,5759
2070571,Gosnells,-32.081,116.0054,PPLX,AU,21149
2070633,Gooseberry Hill,-31.95444,116.0492,PPLX,AU,3199
2070664,Goomalling,-31.30156,116.82527,PPL,AU,552
2070667,Goolwa,-35.50159,138.78191,PPL,AU,2225
2070711,Golden Grove,-34.78333,138.73333,PPLX,AU,10017
2070753,Gnowangerup,-33.93698,118.00904,PPL,AU,594
2070830,Glenelg,-34.98079,138.515,PPLX,AU,3623
2070857,Gladstone,-33.26695,138.35655,PPL,AU,737
2070866,Gingin,-31.34722,115.90432,PPL,AU,806
2070884,Gilles Plains,-34.85,138.65,PPLX,AU,3564
2070998,Geraldton,-28.77897,114.61459,PPLA2,AU,38595
2071001,Gepps Cross,-34.84149,138.59562,PPLX,AU,660
2071059,Gawler,-34.60251,138.74902,PPLA2,AU,20006
2071223,Fremantle,-32.05632,115.74557,PPLX,AU,8616
2071233,Freeling,-34.45407,138.80868,PPL,AU,2204
2071536,Fitzroy Crossing,-18.19714,125.56663,PPL,AU,1783
2071601,Findon,-34.9,138.53333,PPLX,AU,6178
2071821,Eudunda,-34.17703,139.08408,PPL,AU,812
2071860,Esperance,-33.85919,121.89164,PPL,AU,13883
2071961,Encounter Bay,-35.57419,138.60055,PPL,AU,4651
2072096,Elizabeth,-34.72,138.67,PPL,AU,993
2072273,Echunga,-35.10354,138.79588,PPL,AU,1072
2072393,Dwellingup,-32.71438,116.0622,PPL,AU,584
2072430,Dunsborough,-33.61476,115.10445,PPL,AU,4981
2072677,Donnybrook,-33.5713,115.82446,PPL,AU,2656
2072691,Dongara,-29.238,114.927,PPL,AU,1390
2072728,Chidlow,-31.86094,116.27243,PPLX,AU,1783
2072924,Derby,-17.30295,123.62864,PPL,AU,4110
2072945,Denmark,-34.96067,117.35321,PPL,AU,2613
2072950,Port Denison,-29.27367,114.92068,PPL,AU,1500
2073124,Darwin,-12.46113,130.84185,PPLA,AU,139902
2073139,Darlington,-35.03151,138.55527,PPL,AU,1080
2073140,Darlington,-31.91906,116.0812,PPL,AU,3557
2073200,Dampier,-20.66275,116.71256,PPL,AU,1172
2073216,Dalwallinu,-30.28045,116.66015,PPL,AU,814
2073354,Cunderdin,-31.65398,117.23374,PPL,AU,890
2073361,Cummins,-34.26396,135.726,PPL,AU,945
2073422,Crystal Brook,-33.35256,138.20955,PPL,AU,1508
2073523,Craigburn Farm,-35.04046,138.6049,PPL,AU,2336
2073528,Crafers,-34.989,138.716,PPL,AU,1905
2073548,Cowell,-33.68227,136.92117,PPL,AU,1250
2073571,Cowaramup,-33.85036,115.10379,PPL,AU,1798
2073603,Cottesloe,-31.99426,115.75816,PPL,AU,7136
2073633,Corrigin,-32.33383,117.87181,PPL,AU,793
2073643,Coromandel Valley,-35.05,138.61667,PPLX,AU,4090
2073806,Coondle,-31.48182,116.4276,PPL,AU,673
2073890,Coolgardie,-30.95266,121.16349,PPL,AU,864
2073955,Cookernup,-32.98966,115.87993,PPL,AU,508
2073969,Coogee,-32.11934,115.7665,PPLX,AU,4525
2073985,Coober Pedy,-29.01415,134.75495,PPL,AU,2106
2074113,Collie,-33.36206,116.15617,PPL,AU,7396
2074188,Cockatoo Valley,-34.62479,138.83655,PPL,AU,681
2074280,Cleve,-33.7,136.5,PPL,AU,1142
2074325,Clarendon,-35.11667,138.63333,PPLX,AU,597
2074329,Clare,-33.83325,138.61064,PPL,AU,3223
2074408,Chittering,-31.46766,116.0801,PPL,AU,896
2074512,Cherry Gardens,-35.06339,138.66294,PPLX,AU,573
2074526,Cheltenham,-34.86788,138.52336,PPLX,AU,2176
2074579,Charleston,-34.91667,138.9,PPL,AU,530
2074685,Ceduna,-32.1266,133.67271,PPL,AU,2091
2074700,Caversham,-31.88333,115.96667,PPLX,AU,5182
2074865,Carnarvon,-24.88258,113.65713,PPLA2,AU,7392
2074876,Carmel,-32.01667,116.1,PPLX,AU,734
2074927,Cardup,-32.25802,115.98512,PPLX,AU,1078
2075008,Capel,-33.55808,115.56278,PPL,AU,2391
2075024,Cannington,-32.01625,115.93648,PPLX,AU,5906
2075056,Campbelltown,-34.88333,138.66667,PPL,AU,8130
2075074,Camooweal,-19.92154,138.12013,PPL,AU,539
2075133,Callington,-35.11977,139.0414,PPL,AU,589
2075200,Cadell,-34.03881,139.76388,PPL,AU,541
2075230,Byford,-32.22099,116.009,PPLX,AU,18878
2075265,Busselton,-33.65249,115.3455,PPLA2,AU,21898
2075308,Burra,-33.67171,138.92835,PPL,AU,1149
2075350,Burekup,-33.30707,115.81368,PPL,AU,773
2075432,Bunbury,-33.32711,115.64137,PPLA2,AU,76452
2075462,Bullsbrook,-31.66905,115.9999,PPLX,AU,5102
2075657,Bruce Rock,-31.88046,118.14749,PPL,AU,684
2075720,Broome,-17.95538,122.23922,PPL,AU,14660
2075721,Brookton,-32.37235,117.0105,PPL,AU,754
2075795,Brighton,-35.0182,138.52351,PPL,AU,3465
2075806,Bridgewater,-35.01397,138.76648,PPL,AU,3719
2075807,Bridgetown,-33.96242,116.13598,PPL,AU,2751
2075895,Boyup Brook,-33.83425,116.38776,PPL,AU,873
2075909,Boyanup,-33.48295,115.72838,PPL,AU,1163
2075916,Boya,-31.91934,116.05766,PPLX,AU,633
2075988,Boulder,-30.78204,121.4912,PPLX,AU,4870
2076017,Borroloola,-16.06969,136.30797,PPL,AU,956
2076246,Boddington,-32.80071,116.47522,PPL,AU,1153
2076378,Blackwood,-35.02139,138.61429,PPLX,AU,4072
2076526,Birkenhead,-34.83685,138.49788,PPLX,AU,1648
2076528,Birdwood,-34.81826,138.96478,PPL,AU,932
2076674,Bickley,-31.9997,116.1072,PPLX,AU,653
2076699,Beverley,-32.10839,116.92736,PPL,AU,869
2076752,Bentley,-32.00224,115.92473,PPL,AU,8323
2076817,Bellevue,-31.90116,116.02762,PPLX,AU,1667
2076842,Belair,-34.99766,138.62077,PPLX,AU,4288
2076918,Bedford Park,-35.02204,138.56815,PPL,AU,2689
2076923,Bedfordale,-32.17406,116.0504,PPL,AU,2776
2076944,Beaumont,-34.94899,138.66188,PPL,AU,2508
2077026,Batchelor,-13.05046,131.03072,PPL,AU,661
2077030,Bassendean,-31.90906,115.9437,PPLX,AU,10837
2077293,Balingup,-33.8,115.96667,PPL,AU,529
2077296,Balhannah,-34.99094,138.82565,PPL,AU,1660
2077347,Balaklava,-34.14542,138.41148,PPL,AU,2031
2077358,Bakers Hill,-31.74692,116.45866,PPL,AU,1114
2077454,Australind,-33.2792,115.71504,PPLX,AU,15988
2077476,Augusta,-34.31566,115.15922,PPL,AU,1362
2077478,Auburn,-34.02691,138.68521,PPL,AU,653
2077566,Arno Bay,-33.9,136.56667,PPL,AU,504
2077579,Armadale,-32.14607,116.0093,PPLX,AU,13415
2077599,Ardrossan,-34.42217,137.91907,PPL,AU,1151
2077641,Applecross,-32.01667,115.83333,PPLX,AU,6676
2077719,Angle Vale,-34.64098,138.6461,PPLX,AU,2865
2077729,Angaston,-34.50129,139.04625,PPL,AU,2058
2077878,Allanson,-33.33588,116.0994,PPL,AU,588
